Designator,Mid X,Mid Y,Rotation,Layer
C1,2.41,-2.56,0,bottom
C2,2,-2.65,180,bottom
C3,2.02,-2.84,90,bottom
C4,2.39,-2.83,90,bottom
C5,2.08,-2.89,0,bottom
C6,2.55,-2.87,180,bottom
C7,1.93,-2.6,180,bottom
C8,2.44,-2.83,90,bottom
C9,2.42,-2.19,90,bottom
C10,2.29563,-2.29,0,bottom
C11,2,-2.38,270,bottom
C12,2.20063,-2.155,180,bottom
C13,2.275,-2.35,0,bottom
C14,1.695,-2.36,180,bottom
C15,1.685,-2.13,180,bottom
C16,2.055,-2.035,90,bottom
C17,2.14063,-2,270,bottom
C18,2.01,-2.035,90,bottom
C19,2.16,-1.935,0,bottom
C20,3.58,-2.19,180,bottom
C21,3.81,-2.15,270,bottom
C22,3.63,-2.37,0,bottom
C23,3.87,-2.48,0,bottom
C24,2.65,-1.69,270,bottom
C25,3.56,-2.53,270,bottom
C26,2.72,-1.69,270,bottom
C27,3.36,-2.8,0,bottom
C28,3.11,-2.88,180,bottom
C29,3.66,-2.19,180,bottom
C30,2.71,-5.85,90,bottom
C31,3.14,-3.62,270,bottom
C32,4.9,-3.62,270,bottom
C33,6.77,-5.89,90,bottom
C34,7.09,-3.61,270,bottom
C35,9.07,-3.63,270,bottom
C36,8.48,-5.89,90,bottom
C37,4.49,-5.88,90,bottom
C38,10.8,-3.61,270,bottom
C39,10.53,-5.870906,90,bottom
C40,12.49,-5.85,90,bottom
C41,12.53,-3.45,180,bottom
D1,1.94,-3.48,90,bottom
D2,2.13,-4.22,90,bottom
D3,2.22,-5.0075,90,bottom
D4,2.4075,-5.7575,90,bottom
D5,2.0325,-6.5075,90,bottom
D6,2.69,-3.48,90,bottom
D7,3.07,-4.22,90,bottom
D8,3.25125,-5.0075,90,bottom
D9,3.62625,-5.7575,90,bottom
D10,2.97,-6.5075,90,bottom
D11,3.44,-3.48,90,bottom
D12,3.81,-4.22,90,bottom
D13,4.00125,-5.0075,90,bottom
D14,4.37625,-5.74,90,bottom
D15,3.9075,-6.5075,90,bottom
D16,4.19,-3.48,90,bottom
D17,4.56375,-4.22,90,bottom
D18,4.75125,-5.0075,90,bottom
D19,5.12625,-5.7575,90,bottom
D20,6.72,-6.5075,90,bottom
D21,4.94,-3.48,90,bottom
D22,5.31375,-4.22,90,bottom
D23,5.50125,-5.0075,90,bottom
D24,5.87625,-5.7575,90,bottom
D25,9.43875,-6.5075,90,bottom
D26,5.69,-3.48,90,bottom
D27,6.06375,-4.22,90,bottom
D28,6.25125,-5.0075,90,bottom
D29,6.62625,-5.7575,90,bottom
D30,10.18875,-6.5075,90,bottom
D31,6.44,-3.48,90,bottom
D32,6.81375,-4.22,90,bottom
D33,7.00125,-5.0075,90,bottom
D34,7.37625,-5.7575,90,bottom
D35,10.93875,-6.5075,90,bottom
D36,7.19,-3.48,90,bottom
D37,7.56375,-4.22,90,bottom
D38,7.75125,-5.0075,90,bottom
D39,8.12625,-5.7575,90,bottom
D40,11.68875,-6.5075,90,bottom
D41,7.94,-3.48,90,bottom
D42,8.31375,-4.22,90,bottom
D43,8.50125,-5.0075,90,bottom
D44,8.87625,-5.7575,90,bottom
D45,12.43875,-6.5075,90,bottom
D46,8.62,-3.45,90,bottom
D47,9.06375,-4.22,90,bottom
D48,9.25125,-5.0075,90,bottom
D49,9.62625,-5.7575,90,bottom
D50,13.18875,-6.5075,90,bottom
D51,9.44,-3.48,90,bottom
D52,9.81375,-4.22,90,bottom
D53,10.00125,-5.0075,90,bottom
D54,10.37625,-5.7575,90,bottom
D55,10.19,-3.48,90,bottom
D56,10.56375,-4.22,90,bottom
D57,10.75125,-5.0075,90,bottom
D58,11.4075,-5.7575,90,bottom
D59,10.94,-3.48,90,bottom
D60,11.31375,-4.22,90,bottom
D61,11.97,-5.0075,90,bottom
D62,12.35,-5.73,90,bottom
D63,12.06,-3.48,90,bottom
D64,12.26,-4.22,90,bottom
D65,13.18875,-5.0075,90,bottom
D66,13.18875,-5.7575,90,bottom
D67,13.19,-3.47,90,bottom
D68,13.19,-4.22,90,bottom
D69,2.97,-3.62,180,bottom
D73,2.88,-5.85,0,bottom
D74,4.73,-3.6,180,bottom
D75,4.66,-5.85,0,bottom
D76,6.92,-3.61,180,bottom
D77,6.94,-5.85,0,bottom
D78,8.9,-3.62,180,bottom
D79,8.65,-5.85,0,bottom
D80,10.7,-5.85,0,bottom
D81,10.63,-3.61,180,bottom
D82,12.53,-3.6,180,bottom
D83,12.66,-5.85,0,bottom
FB1,2.58,-1.69,270,bottom
J2,2.07,-1.73,90,bottom
J4,3.24,-1.99,90,bottom
J5,3.24,-2.36,90,bottom
L1,2.121535,-2.145,0,bottom
L2,2.075,-2.1,180,bottom
L3,2.14063,-2.08,90,bottom
R1,2.47,-2.19,270,bottom
R2,2.25563,-2.215,270,bottom
R3,1.895,-2.25,270,bottom
R5,2.96,-2.01,270,bottom
R6,3.57,-2.41,90,bottom
R7,1.67,-2.77,90,bottom
R8,3.74,-2.38,0,bottom
R9,3.91,-2.3,0,bottom
R10,3.68,-2.31,180,bottom
R11,3.67,-2.62,90,bottom
R12,3.62,-2.620906,90,bottom
R13,3.554,-2.13,270,bottom
R14,3.91,-2.07,0,bottom
R15,3.76,-2.15,270,bottom
R16,3,-2.52,270,bottom
R17,2.86,-2.55,180,bottom
R18,3.51,-2.13,90,bottom
U1,2.204409,-2.705591,0,bottom
U2,2.13063,-2.28,90,bottom
U3,2.75,-2.18,90,bottom
U4,3.67748,-2.482362,180,bottom
U6,3.656772,-2.1,0,bottom
U7,3.23,-2.84,180,bottom
Y2,1.755,-2.24,135,bottom
