Ref,Val,Package,PosX,PosY,Rot,Side
"D70","G_LED","LED_0603_1608Metric",75.946000,-48.260000,90.000000,top
"D71","Y_LED","LED_0603_1608Metric",94.234000,-70.612000,270.000000,top
"D72","G_LED","LED_0603_1608Metric",91.694000,-70.612000,270.000000,top
"J1","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD",72.898000,-70.104000,90.000000,top
"SW1","RESET","SW_SPST_B3S-1000",63.246000,-55.626000,0.000000,top
"SW2","`","MXOnly-1U-Hotswap",56.388000,-84.328000,0.000000,top
"SW3","1","MXOnly-1U-Hotswap",75.438000,-84.328000,0.000000,top
"SW4","2","MXOnly-1U-Hotswap",94.488000,-84.328000,0.000000,top
"SW5","3","MXOnly-1U-Hotswap",113.538000,-84.328000,0.000000,top
"SW6","4","MXOnly-1U-Hotswap",132.588000,-84.328000,0.000000,top
"SW7","5","MXOnly-1U-Hotswap",151.638000,-84.328000,0.000000,top
"SW8","6","MXOnly-1U-Hotswap",170.688000,-84.328000,0.000000,top
"SW9","7","MXOnly-1U-Hotswap",189.738000,-84.328000,0.000000,top
"SW10","8","MXOnly-1U-Hotswap",208.788000,-84.328000,0.000000,top
"SW11","9","MXOnly-1U-Hotswap",227.838000,-84.328000,0.000000,top
"SW12","0","MXOnly-1U-Hotswap",246.888000,-84.328000,0.000000,top
"SW13","-","MXOnly-1U-Hotswap",265.938000,-84.328000,0.000000,top
"SW14","=","MXOnly-1U-Hotswap",284.988000,-84.328000,0.000000,top
"SW15","BACKSPACE","MXOnly-2U-Hotswap",313.563000,-84.328000,0.000000,top
"SW16","HOME","MXOnly-1U-Hotswap",342.138000,-84.328000,0.000000,top
"SW17","TAB","MXOnly-1.5U-Hotswap",61.150500,-103.378000,0.000000,top
"SW18","CAPS LOCK","MXOnly-1.75U-Hotswap",63.531750,-122.428000,0.000000,top
"SW19","L_SHIFT","MXOnly-2.25U-Hotswap",68.294250,-141.478000,0.000000,top
"SW20","L_CTRL","MXOnly-1.25U-Hotswap",58.769250,-160.528000,0.000000,top
"SW21","Q","MXOnly-1U-Hotswap",84.963000,-103.378000,0.000000,top
"SW22","A","MXOnly-1U-Hotswap",89.725500,-122.428000,0.000000,top
"SW23","Z","MXOnly-1U-Hotswap",99.250500,-141.478000,0.000000,top
"SW24","WIN","MXOnly-1.25U-Hotswap",82.581750,-160.528000,0.000000,top
"SW25","W","MXOnly-1U-Hotswap",104.013000,-103.378000,0.000000,top
"SW26","S","MXOnly-1U-Hotswap",108.775500,-122.428000,0.000000,top
"SW27","X","MXOnly-1U-Hotswap",118.300500,-141.478000,0.000000,top
"SW28","L_ALT","MXOnly-1.25U-Hotswap",106.394250,-160.528000,0.000000,top
"SW29","E","MXOnly-1U-Hotswap",123.063000,-103.378000,0.000000,top
"SW30","D","MXOnly-1U-Hotswap",127.825500,-122.428000,0.000000,top
"SW31","C","MXOnly-1U-Hotswap",137.350500,-141.478000,0.000000,top
"SW32","SPACE","MXOnly-6.25U-Hotswap",177.831750,-160.528000,0.000000,top
"SW33","R","MXOnly-1U-Hotswap",142.113000,-103.378000,0.000000,top
"SW34","F","MXOnly-1U-Hotswap",146.875500,-122.428000,0.000000,top
"SW35","V","MXOnly-1U-Hotswap",156.400500,-141.478000,0.000000,top
"SW36","R_ALT","MXOnly-1U-Hotswap",246.888000,-160.528000,0.000000,top
"SW37","T","MXOnly-1U-Hotswap",161.163000,-103.378000,0.000000,top
"SW38","G","MXOnly-1U-Hotswap",165.925500,-122.428000,0.000000,top
"SW39","B","MXOnly-1U-Hotswap",175.450500,-141.478000,0.000000,top
"SW40","FN","MXOnly-1U-Hotswap",265.938000,-160.528000,0.000000,top
"SW41","Y","MXOnly-1U-Hotswap",180.213000,-103.378000,0.000000,top
"SW42","H","MXOnly-1U-Hotswap",184.975500,-122.428000,0.000000,top
"SW43","N","MXOnly-1U-Hotswap",194.500500,-141.478000,0.000000,top
"SW44","R_CTRL","MXOnly-1U-Hotswap",284.988000,-160.528000,0.000000,top
"SW45","U","MXOnly-1U-Hotswap",199.263000,-103.378000,0.000000,top
"SW46","J","MXOnly-1U-Hotswap",204.025500,-122.428000,0.000000,top
"SW47","M","MXOnly-1U-Hotswap",213.550500,-141.478000,0.000000,top
"SW48","LEFT","MXOnly-1U-Hotswap",304.038000,-160.528000,0.000000,top
"SW49","I","MXOnly-1U-Hotswap",218.313000,-103.378000,0.000000,top
"SW50","K","MXOnly-1U-Hotswap",223.075500,-122.428000,0.000000,top
"SW51",",","MXOnly-1U-Hotswap",232.600500,-141.478000,0.000000,top
"SW52","DOWN","MXOnly-1U-Hotswap",323.088000,-160.528000,0.000000,top
"SW53","O","MXOnly-1U-Hotswap",237.363000,-103.378000,0.000000,top
"SW54","L","MXOnly-1U-Hotswap",242.125500,-122.428000,0.000000,top
"SW55",".","MXOnly-1U-Hotswap",251.650500,-141.478000,0.000000,top
"SW56","RIGHT","MXOnly-1U-Hotswap",342.138000,-160.528000,0.000000,top
"SW57","P","MXOnly-1U-Hotswap",256.413000,-103.378000,0.000000,top
"SW58",";","MXOnly-1U-Hotswap",261.175500,-122.428000,0.000000,top
"SW59","/","MXOnly-1U-Hotswap",270.700500,-141.478000,0.000000,top
"SW60","[","MXOnly-1U-Hotswap",275.463000,-103.378000,0.000000,top
"SW61","'","MXOnly-1U-Hotswap",280.225500,-122.428000,0.000000,top
"SW62","R_SHIFT","MXOnly-1.75U-Hotswap",296.894250,-141.478000,0.000000,top
"SW63","]","MXOnly-1U-Hotswap",294.513000,-103.378000,0.000000,top
"SW64","ENTER","MXOnly-2.25U-Hotswap",311.181750,-122.428000,0.000000,top
"SW65","UP","MXOnly-1U-Hotswap",323.088000,-141.478000,0.000000,top
"SW66","\","MXOnly-1.5U-Hotswap",318.325500,-103.378000,0.000000,top
"SW67","PAGE DOWN","MXOnly-1U-Hotswap",342.138000,-122.428000,0.000000,top
"SW68","END","MXOnly-1U-Hotswap",342.138000,-141.478000,0.000000,top
"SW69","PAGE UP","MXOnly-1U-Hotswap",342.138000,-103.378000,0.000000,top
"SW70","BOOT0","SW_SPST_B3S-1000",46.482000,-70.358000,180.000000,top
